Floor,Building,"Owner Association",Description,"Property Number","Property Type"
,1,1,,1005,UNIT
,1,1,,204,UNIT
,1,1,,206,UNIT
,1,1,,208,UNIT
,1,1,,408,UNIT
,1,1,,B-40,NA
,1,1,,1002,UNIT
,1,1,,1006,UNIT
,1,1,,405,UNIT
,1,1,,806,UNIT
,1,1,,808,UNIT
,1,1,,R04,UNIT
,1,1,,B-39,NA
,1,1,,G-15,NA
,1,1,,P-08,NA
,1,1,,1001,UNIT
,1,1,,209,UNIT
,1,1,,210,UNIT
,1,1,,605,UNIT
,1,1,,607,UNIT
,1,1,,610,UNIT
,1,1,,201,UNIT
,1,1,,B-43,NA
,1,1,,1003,UNIT
,1,1,,202,UNIT
,1,1,,609,UNIT
,1,1,,807,UNIT
,1,1,,810,UNIT
,1,1,,R01,UNIT
,1,1,,203,UNIT
,1,1,,205,UNIT
,1,1,,406,UNIT
,1,1,,410,UNIT
,1,1,,603,UNIT
,1,1,,604,UNIT
,1,1,,608,UNIT
,1,1,,B-11,NA
,1,1,,1004,UNIT
,1,1,,402,UNIT
,1,1,,404,UNIT
,1,1,,606,UNIT
,1,1,,801,UNIT
,1,1,,805,UNIT
,1,1,,B-42,NA
,1,1,,G-16,NA
,1,1,,401,UNIT
,1,1,,407,UNIT
,1,1,,601,UNIT
,1,1,,802,UNIT
,1,1,,803,UNIT
,1,1,,B-41,NA
,1,1,,207,UNIT
,1,1,,403,UNIT
,1,1,,409,UNIT
,1,1,,602,UNIT
,1,1,,804,UNIT
,1,1,,809,UNIT
,1,1,,R02,UNIT
,1,1,,B-38,NA
,2,1,,104,UNIT
,2,1,,103,UNIT
,2,1,,G03,UNIT
,2,1,,102,UNIT
,2,1,,G03,UNIT
,2,1,,G02,UNIT
,2,1,,G03,UNIT
,2,1,,G04,UNIT
,2,1,,101,UNIT
,2,1,,102,UNIT
,2,1,,G03,UNIT
,2,1,,G04,UNIT
,2,1,,101,UNIT
,2,1,,103,UNIT
,2,1,,102,UNIT
,2,1,,G01,UNIT
,2,1,,G02,UNIT
,2,1,,103,UNIT
,2,1,,101,UNIT
,2,1,,104,UNIT
,2,1,,G02,UNIT
,2,1,,G02,UNIT
,2,1,,G01,UNIT
,2,1,,G04,UNIT
,2,1,,103,UNIT
,2,1,,G01,UNIT
,2,1,,101,UNIT
,2,1,,102,UNIT
,2,1,,104,UNIT
,2,1,,G01,UNIT
,2,1,,104,UNIT
,2,1,,G04,UNIT
,3,1,,104,UNIT
,3,1,,106,UNIT
,3,1,,116,UNIT
,3,1,,12,UNIT
,3,1,,201,UNIT
,3,1,,219,UNIT
,3,1,,309,UNIT
,3,1,,311,UNIT
,3,1,,101,UNIT
,3,1,,107,UNIT
,3,1,,108,UNIT
,3,1,,11,UNIT
,3,1,,110,UNIT
,3,1,,111,UNIT
,3,1,,117,UNIT
,3,1,,204,UNIT
,3,1,,205,UNIT
,3,1,,206,UNIT
,3,1,,218,UNIT
,3,1,,305,UNIT
,3,1,,308,UNIT
,3,1,,310,UNIT
,3,1,,317,UNIT
,3,1,,GYM,UNIT
,3,1,,112,UNIT
,3,1,,114,UNIT
,3,1,,208,UNIT
,3,1,,212,UNIT
,3,1,,215,UNIT
,3,1,,301,UNIT
,3,1,,4,UNIT
,3,1,,5,UNIT
,3,1,,1,UNIT
,3,1,,102,UNIT
,3,1,,105,UNIT
,3,1,,13,UNIT
,3,1,,15,UNIT
,3,1,,207,UNIT
,3,1,,312,UNIT
,3,1,,318,UNIT
,3,1,,7,UNIT
,3,1,,9,UNIT
,3,1,,103,UNIT
,3,1,,14,UNIT
,3,1,,17,UNIT
,3,1,,203,UNIT
,3,1,,209,UNIT
,3,1,,210,UNIT
,3,1,,211,UNIT
,3,1,,314,UNIT
,3,1,,8,UNIT
,3,1,,306,UNIT
,3,1,,307,UNIT
,3,1,,313,UNIT
,3,1,,315,UNIT
,3,1,,316,UNIT
,3,1,,10,UNIT
,3,1,,109,UNIT
,3,1,,115,UNIT
,3,1,,16,UNIT
,3,1,,213,UNIT
,3,1,,216,UNIT
,3,1,,217,UNIT
,3,1,,302,UNIT
,3,1,,303,UNIT
,3,1,,6,UNIT
,3,1,,113,UNIT
,3,1,,2,UNIT
,3,1,,202,UNIT
,3,1,,214,UNIT
,3,1,,3,UNIT
,3,1,,304,UNIT
,3,1,,319,UNIT
,4,1,,"VILLA 1",BUILDING
,4,1,,"VILLA 14",BUILDING
,4,1,,"VILLA 7",BUILDING
,4,1,,"VILLA 6",BUILDING
,4,1,,"VILLA 11",BUILDING
,4,1,,"VILLA 8",BUILDING
,4,1,,"VILLA 3",BUILDING
,4,1,,"VILLA 2",BUILDING
,4,1,,"VILLA 13",BUILDING
,4,1,,"VILLA 12",BUILDING
,4,1,,"VILLA 5",BUILDING
,4,1,,"VILLA 4",BUILDING
,4,1,,"VILLA 10",BUILDING
,4,1,,"VILLA 9",BUILDING
,5,1,,209,UNIT
,5,1,,301,UNIT
,5,1,,605,UNIT
,5,1,,901,UNIT
,5,1,,101,UNIT
,5,1,,406,UNIT
,5,1,,502,UNIT
,5,1,,508,UNIT
,5,1,,303,UNIT
,5,1,,703,UNIT
,5,1,,708,UNIT
,5,1,,802,UNIT
,5,1,,803,UNIT
,5,1,,903,UNIT
,5,1,,907,UNIT
,5,1,,909,UNIT
,5,1,,1002,UNIT
,5,1,,401,UNIT
,5,1,,404,UNIT
,5,1,,607,UNIT
,5,1,,204,UNIT
,5,1,,806,UNIT
,5,1,,902,UNIT
,5,1,,908,UNIT
,5,1,,409,UNIT
,5,1,,602,UNIT
,5,1,,1003,UNIT
,5,1,,1005,UNIT
,5,1,,306,UNIT
,5,1,,309,UNIT
,5,1,,403,UNIT
,5,1,,704,UNIT
,5,1,,801,UNIT
,5,1,,805,UNIT
,5,1,,808,UNIT
,5,1,,905,UNIT
,5,1,,906,UNIT
,5,1,,103,UNIT
,5,1,,104,UNIT
,5,1,,506,UNIT
,5,1,,603,UNIT
,5,1,,608,UNIT
,5,1,,701,UNIT
,5,1,,705,UNIT
,5,1,,706,UNIT
,5,1,,203,UNIT
,5,1,,205,UNIT
,5,1,,807,UNIT
,5,1,,809,UNIT
,5,1,,504,UNIT
,5,1,,507,UNIT
,5,1,,604,UNIT
,5,1,,1004,UNIT
,5,1,,308,UNIT
,5,1,,707,UNIT
,5,1,,709,UNIT
,5,1,,108,UNIT
,5,1,,109,UNIT
,5,1,,202,UNIT
,5,1,,804,UNIT
,5,1,,102,UNIT
,5,1,,405,UNIT
,5,1,,407,UNIT
,5,1,,408,UNIT
,5,1,,302,UNIT
,5,1,,702,UNIT
,5,1,,106,UNIT
,5,1,,207,UNIT
,5,1,,105,UNIT
,5,1,,509,UNIT
,5,1,,304,UNIT
,5,1,,305,UNIT
,5,1,,307,UNIT
,5,1,,402,UNIT
,5,1,,606,UNIT
,5,1,,609,UNIT
,5,1,,107,UNIT
,5,1,,201,UNIT
,5,1,,206,UNIT
,5,1,,208,UNIT
,5,1,,904,UNIT
,5,1,,501,UNIT
,5,1,,503,UNIT
,5,1,,505,UNIT
,5,1,,601,UNIT
,5,1,,1001A,UNIT
,6,1,,B1-66,UNIT
,6,1,,B4-195,NA
,6,1,,P1-119,UNIT
,6,1,,P1-36,UNIT
,6,1,,P1-60,UNIT
,6,1,,P2-85,NA
,6,1,,B1-172,UNIT
,6,1,,P1-91,UNIT
,6,1,,B1-120,UNIT
,6,1,,B1-145,UNIT
,6,1,,B1-153,UNIT
,6,1,,P1-86,UNIT
,6,1,,P2-114,UNIT
,6,1,,B1-77,UNIT
,6,1,,P1-45,UNIT
,6,1,,P1-48,UNIT
,6,1,,P1-55,UNIT
,6,1,,B1-139,UNIT
,6,1,,B1-173,UNIT
,6,1,,P1-51,UNIT
,6,1,,P1-43,UNIT
,6,1,,B1-128,UNIT
,6,1,,B4-134,NA
,6,1,,P1-68,UNIT
,6,1,,P2-103,NA
,6,1,,10F-A-05,UNIT
,6,1,,11F-A-05,UNIT
,6,1,,11F-A-06,UNIT
,6,1,,12F-A-01,UNIT
,6,1,,13F-A-02,UNIT
,6,1,,13F-A-04,UNIT
,6,1,,1F-A-01,UNIT
,6,1,,2F-A-01,UNIT
,6,1,,2F-A-06,UNIT
,6,1,,3F-A-02,UNIT
,6,1,,5F-A-04,UNIT
,6,1,,8F-A-02,UNIT
,6,1,,8F-A-06,UNIT
,6,1,,11F-B-01,UNIT
,6,1,,11F-B-06,UNIT
,6,1,,14F-B-05,UNIT
,6,1,,15F-B-01,UNIT
,6,1,,2F-B-04,UNIT
,6,1,,3F-B-01,UNIT
,6,1,,4F-B-04,UNIT
,6,1,,4F-B-05,UNIT
,6,1,,5F-B-01,UNIT
,6,1,,6F-B-03,UNIT
,6,1,,8F-B-02,UNIT
,6,1,,8F-B-05,UNIT
,6,1,,B1-6,UNIT
,6,1,,B2-152,NA
,6,1,,P1-49,UNIT
,6,1,,B2-171,NA
,6,1,,P1-112,UNIT
,6,1,,P1-63,UNIT
,6,1,,P1-92,UNIT
,6,1,,P1-61,UNIT
,6,1,,P1-115,NA
,6,1,,B4-174,NA
,6,1,,P1-67,UNIT
,6,1,,P1-95,UNIT
,6,1,,P2-111,UNIT
,6,1,,B1-67,UNIT
,6,1,,B1-136,UNIT
,6,1,,P1-62,UNIT
,6,1,,B1-143,UNIT
,6,1,,B1-168,UNIT
,6,1,,15F-A-05,UNIT
,6,1,,16F-A-06,UNIT
,6,1,,2F-A-02,UNIT
,6,1,,3F-A-01,UNIT
,6,1,,3F-A-03,UNIT
,6,1,,3F-A-04,UNIT
,6,1,,4F-A-01,UNIT
,6,1,,4F-A-04,UNIT
,6,1,,8F-A-03,UNIT
,6,1,,9F-A-03,UNIT
,6,1,,GF-R6,UNIT
,6,1,,P3-A-08,UNIT
,6,1,,P3-B-03,UNIT
,6,1,,12F-B-04,UNIT
,6,1,,12F-B-06,UNIT
,6,1,,13F-B-02,UNIT
,6,1,,16F-B-01,UNIT
,6,1,,16F-B-05,UNIT
,6,1,,1F-B-01,UNIT
,6,1,,1F-B-R1,UNIT
,6,1,,2F-B-02,UNIT
,6,1,,2F-B-03,UNIT
,6,1,,4F-B-03,UNIT
,6,1,,6F-B-04,UNIT
,6,1,,7F-B-04,UNIT
,6,1,,8F-B-04,UNIT
,6,1,,9F-B-01,UNIT
,6,1,,9F-B-04,UNIT
,6,1,,B1-144,UNIT
,6,1,,B1-155,UNIT
,6,1,,P1-42,UNIT
,6,1,,P1-57,UNIT
,6,1,,P1-66,UNIT
,6,1,,B1-68,UNIT
,6,1,,P1-97,UNIT
,6,1,,B1-148,UNIT
,6,1,,P1-44,UNIT
,6,1,,P1-47,UNIT
,6,1,,P2-116,NA
,6,1,,B1-118,UNIT
,6,1,,B4-194,NA
,6,1,,P2-112,UNIT
,6,1,,B1-4,UNIT
,6,1,,P1-50,UNIT
,6,1,,P1-110,UNIT
,6,1,,P1-111,UNIT
,6,1,,11F-A-01,UNIT
,6,1,,11F-A-04,UNIT
,6,1,,13F-A-01,UNIT
,6,1,,14F-A-01,UNIT
,6,1,,14F-A-02,UNIT
,6,1,,16F-A-05,UNIT
,6,1,,1F-A-R1,UNIT
,6,1,,5F-A-01,UNIT
,6,1,,8F-A-04,UNIT
,6,1,,9F-A-04,UNIT
,6,1,,GF-R10A,UNIT
,6,1,,GF-R7,UNIT
,6,1,,P3-B-02,UNIT
,6,1,,11F-B-03,UNIT
,6,1,,11F-B-05,UNIT
,6,1,,13F-B-03,UNIT
,6,1,,15F-B-03,UNIT
,6,1,,16F-B-03,UNIT
,6,1,,1F-B-02,UNIT
,6,1,,2F-B-05,UNIT
,6,1,,4F-B-06,UNIT
,6,1,,5F-B-06,UNIT
,6,1,,8F-B-03,UNIT
,6,1,,P1-124,UNIT
,6,1,,B1-127,UNIT
,6,1,,B1-156,UNIT
,6,1,,P1-87,UNIT
,6,1,,B1-129,UNIT
,6,1,,B1-135,UNIT
,6,1,,B1-138,UNIT
,6,1,,B1-114,UNIT
,6,1,,B1-116,UNIT
,6,1,,B1-119,UNIT
,6,1,,B1-147,UNIT
,6,1,,B2-204,UNIT
,6,1,,P1-122,UNIT
,6,1,,B1-112,UNIT
,6,1,,B1-134,UNIT
,6,1,,B1-158,NA
,6,1,,B3-135,NA
,6,1,,P1-84,UNIT
,6,1,,P1-118,UNIT
,6,1,,10F-A-02,UNIT
,6,1,,16F-A-03,UNIT
,6,1,,1F-A-02,UNIT
,6,1,,2F-A-03,UNIT
,6,1,,2F-A-05,UNIT
,6,1,,3F-A-05,UNIT
,6,1,,4F-A-06,UNIT
,6,1,,5F-A-02,UNIT
,6,1,,7F-A-01,UNIT
,6,1,,7F-A-06,UNIT
,6,1,,8F-A-01,UNIT
,6,1,,8F-A-05,UNIT
,6,1,,9F-A-05,UNIT
,6,1,,GF-R1,UNIT
,6,1,,GF-R12,UNIT
,6,1,,GF-R14,UNIT
,6,1,,GF-R4,UNIT
,6,1,,P3-A-03,UNIT
,6,1,,P3-A-04,UNIT
,6,1,,P3-A-09,UNIT
,6,1,,P3-B-01,UNIT
,6,1,,P3-B-04,UNIT
,6,1,,12F-B-02,UNIT
,6,1,,12F-B-05,UNIT
,6,1,,13F-B-01,UNIT
,6,1,,13F-B-06,UNIT
,6,1,,14F-B-01,UNIT
,6,1,,14F-B-04,UNIT
,6,1,,2F-B-06,UNIT
,6,1,,3F-B-02,UNIT
,6,1,,3F-B-05,UNIT
,6,1,,5F-B-02,UNIT
,6,1,,6F-B-02,UNIT
,6,1,,7F-B-06,UNIT
,6,1,,8F-B-01,UNIT
,6,1,,B1-124,UNIT
,6,1,,B2-113,UNIT
,6,1,,B1-154,UNIT
,6,1,,B3-179,NA
,6,1,,B3-180,NA
,6,1,,B1-111,UNIT
,6,1,,B1-115,UNIT
,6,1,,B1-137,UNIT
,6,1,,P1-37,UNIT
,6,1,,P1-94,UNIT
,6,1,,B1-2,UNIT
,6,1,,B1-29,NA
,6,1,,B1-140,UNIT
,6,1,,P1-121,UNIT
,6,1,,B1-3,UNIT
,6,1,,B4-126,NA
,6,1,,P2-113,UNIT
,6,1,,B1-170,UNIT
,6,1,,B2-111,UNIT
,6,1,,B2-180,NA
,6,1,,B1-141,UNIT
,6,1,,B1-166,UNIT
,6,1,,P2-118,NA
,6,1,,10F-A-03,UNIT
,6,1,,12F-A-03,UNIT
,6,1,,13F-A-03,UNIT
,6,1,,14F-A-06,UNIT
,6,1,,15F-A-01,UNIT
,6,1,,15F-A-02,UNIT
,6,1,,15F-A-03,UNIT
,6,1,,15F-A-06,UNIT
,6,1,,2F-A-04,UNIT
,6,1,,6F-A-05,UNIT
,6,1,,7F-A-03,UNIT
,6,1,,7F-A-05,UNIT
,6,1,,9F-A-06,UNIT
,6,1,,GF-R10,UNIT
,6,1,,GF-R11,UNIT
,6,1,,GF-R2,UNIT
,6,1,,P3-A-02,UNIT
,6,1,,P3-A-05,UNIT
,6,1,,P3-B-05,UNIT
,6,1,,11F-B-02,UNIT
,6,1,,13F-B-04,UNIT
,6,1,,14F-B-03,UNIT
,6,1,,14F-B-06,UNIT
,6,1,,15F-B-04,UNIT
,6,1,,16F-B-04,UNIT
,6,1,,1F-B-03,UNIT
,6,1,,5F-B-03,UNIT
,6,1,,6F-B-06,UNIT
,6,1,,7F-B-03,UNIT
,6,1,,9F-B-03,UNIT
,6,1,,10F-B-01,UNIT
,6,1,,P1-41,UNIT
,6,1,,P1-58,UNIT
,6,1,,P1-82,UNIT
,6,1,,P1-117,UNIT
,6,1,,B1-76,UNIT
,6,1,,B1-157,NA
,6,1,,B2-135,NA
,6,1,,P1-38,UNIT
,6,1,,P1-46,UNIT
,6,1,,P1-59,UNIT
,6,1,,P1-123,UNIT
,6,1,,P1-85,NA
,6,1,,B2-110,UNIT
,6,1,,P1-116,UNIT
,6,1,,B1-109,UNIT
,6,1,,B2-126,NA
,6,1,,B2-181,NA
,6,1,,P1-40,UNIT
,6,1,,P1-64,UNIT
,6,1,,B1-113,UNIT
,6,1,,B1-131,UNIT
,6,1,,B3-126,NA
,6,1,,P1-65,UNIT
,6,1,,P1-125,UNIT
,6,1,,B1-1,UNIT
,6,1,,B1-123,UNIT
,6,1,,10F-A-04,UNIT
,6,1,,11F-A-03,UNIT
,6,1,,12F-A-02,UNIT
,6,1,,12F-A-04,UNIT
,6,1,,12F-A-05,UNIT
,6,1,,14F-A-04,UNIT
,6,1,,14F-A-05,UNIT
,6,1,,16F-A-04,UNIT
,6,1,,1F-A-03,UNIT
,6,1,,3F-A-06,UNIT
,6,1,,6F-A-01,UNIT
,6,1,,6F-A-02,UNIT
,6,1,,6F-A-06,UNIT
,6,1,,GF-R8,UNIT
,6,1,,P3-B-07,UNIT
,6,1,,P3-B-09,UNIT
,6,1,,10F-B-02,UNIT
,6,1,,10F-B-03,UNIT
,6,1,,10F-B-04,UNIT
,6,1,,10F-B-06,UNIT
,6,1,,11F-B-04,UNIT
,6,1,,12F-B-01,UNIT
,6,1,,12F-B-03,UNIT
,6,1,,13F-B-05,UNIT
,6,1,,15F-B-02,UNIT
,6,1,,16F-B-02,UNIT
,6,1,,16F-B-06,UNIT
,6,1,,2F-B-01,UNIT
,6,1,,3F-B-06,UNIT
,6,1,,6F-B-01,UNIT
,6,1,,7F-B-05,UNIT
,6,1,,9F-B-02,UNIT
,6,1,,9F-B-05,UNIT
,6,1,,B1-171,UNIT
,6,1,,P1-114,NA
,6,1,,B1-122,UNIT
,6,1,,B2-108,UNIT
,6,1,,B2-114,UNIT
,6,1,,P1-113,NA
,6,1,,B1-149,NA
,6,1,,B1-167,UNIT
,6,1,,P1-93,UNIT
,6,1,,P1-120,UNIT
,6,1,,B1-121,UNIT
,6,1,,B3-172,NA
,6,1,,P1-83,UNIT
,6,1,,P1-103,NA
,6,1,,B2-105,UNIT
,6,1,,B2-107,UNIT
,6,1,,B2-205,UNIT
,6,1,,B2-106,UNIT
,6,1,,P1-54,UNIT
,6,1,,B1-126,UNIT
,6,1,,B1-132,NA
,6,1,,B1-133,UNIT
,6,1,,B1-146,UNIT
,6,1,,B2-109,UNIT
,6,1,,P1-39,UNIT
,6,1,,P1-81,UNIT
,6,1,,11F-A-02,UNIT
,6,1,,13F-A-05,UNIT
,6,1,,16F-A-01,UNIT
,6,1,,4F-A-03,UNIT
,6,1,,4F-A-05,UNIT
,6,1,,5F-A-05,UNIT
,6,1,,5F-A-06,UNIT
,6,1,,7F-A-04,UNIT
,6,1,,GF-R13,UNIT
,6,1,,GF-R3,UNIT
,6,1,,GF-R5,UNIT
,6,1,,GF-R9,UNIT
,6,1,,P3-A-01,UNIT
,6,1,,P3-B-06,UNIT
,6,1,,P3-B-08,UNIT
,6,1,,10F-B-05,UNIT
,6,1,,14F-B-02,UNIT
,6,1,,15F-B-05,UNIT
,6,1,,4F-B-01,UNIT
,6,1,,4F-B-02,UNIT
,6,1,,5F-B-05,UNIT
,6,1,,7F-B-01,UNIT
,6,1,,8F-B-06,UNIT
,6,1,,B1-130,UNIT
,6,1,,P1-53,UNIT
,6,1,,P1-56,UNIT
,6,1,,P2-117,NA
,6,1,,B1-69,UNIT
,6,1,,P1-109,UNIT
,6,1,,B1-125,NA
,6,1,,B1-169,UNIT
,6,1,,B2-112,UNIT
,6,1,,P1-90,UNIT
,6,1,,P1-96,UNIT
,6,1,,B1-5,UNIT
,6,1,,B1-142,UNIT
,6,1,,B1-110,UNIT
,6,1,,B1-117,UNIT
,6,1,,P2-110,UNIT
,6,1,,P1-52,UNIT
,6,1,,10F-A-01,UNIT
,6,1,,10F-A-06,UNIT
,6,1,,12F-A-06,UNIT
,6,1,,13F-A-06,UNIT
,6,1,,14F-A-03,UNIT
,6,1,,15F-A-04,UNIT
,6,1,,16F-A-02,UNIT
,6,1,,4F-A-02,UNIT
,6,1,,5F-A-03,UNIT
,6,1,,6F-A-03,UNIT
,6,1,,6F-A-04,UNIT
,6,1,,7F-A-02,UNIT
,6,1,,9F-A-01,UNIT
,6,1,,9F-A-02,UNIT
,6,1,,P3-A-06,UNIT
,6,1,,P3-A-07,UNIT
,6,1,,15F-B-06,UNIT
,6,1,,3F-B-03,UNIT
,6,1,,3F-B-04,UNIT
,6,1,,5F-B-04,UNIT
,6,1,,6F-B-05,UNIT
,6,1,,7F-B-02,UNIT
,6,1,,9F-B-06,UNIT
,7,1,,306,UNIT
,7,1,,406,UNIT
,7,1,,408,UNIT
,7,1,,412,UNIT
,7,1,,"SHOP NO.04",UNIT
,7,1,,G-14,UNIT
,7,1,,G-18,UNIT
,7,1,,308,UNIT
,7,1,,401,UNIT
,7,1,,404,UNIT
,7,1,,501,UNIT
,7,1,,508,UNIT
,7,1,,613,UNIT
,7,1,,G-23,UNIT
,7,1,,G-15,UNIT
,7,1,,202,UNIT
,7,1,,207,UNIT
,7,1,,212,UNIT
,7,1,,315,UNIT
,7,1,,409,UNIT
,7,1,,411,UNIT
,7,1,,414,UNIT
,7,1,,502,UNIT
,7,1,,505,UNIT
,7,1,,506,UNIT
,7,1,,510,UNIT
,7,1,,515,UNIT
,7,1,,"SHOP NO.03",UNIT
,7,1,,G-12,UNIT
,7,1,,G-13,UNIT
,7,1,,G-16,UNIT
,7,1,,201,UNIT
,7,1,,214,UNIT
,7,1,,312,UNIT
,7,1,,413,UNIT
,7,1,,415,UNIT
,7,1,,509,UNIT
,7,1,,511,UNIT
,7,1,,609,UNIT
,7,1,,G-01,UNIT
,7,1,,G-21,UNIT
,7,1,,203,UNIT
,7,1,,204,UNIT
,7,1,,209,UNIT
,7,1,,211,UNIT
,7,1,,304,UNIT
,7,1,,309,UNIT
,7,1,,512,UNIT
,7,1,,612,UNIT
,7,1,,G-22,UNIT
,7,1,,G-25,UNIT
,7,1,,G-24,UNIT
,7,1,,G-27,UNIT
,7,1,,G-19,UNIT
,7,1,,215,UNIT
,7,1,,301,UNIT
